Date,Open,High,Low,Close,Adj Close,Volume,Daily Rt,volatility 1,momentum 1,volatility 3,momentum 3
2014-01-14,373.350006,398.899994,353,389.399994,345.907013,1873905,-0.07634634317,,,,
2014-01-15,389,394,371.450012,376.200012,334.181366,317537,-0.151895486,,,,
2014-01-16,376,403.899994,371.850006,390.649994,347.017426,407280,-0.08021414568,,,,
2014-01-17,392.700012,395.700012,381,389.5,345.99585,188921,-0.1266192114,,,,
2014-01-20,389,415,388.100006,412.700012,366.604584,324691,-0.0592955042,,,,
2014-01-21,412.5,421.950012,405,406.350006,360.963806,243518,-0.1334585129,,,,
2014-01-22,405,414.100006,405,406.649994,361.230316,80637,-0.1143713177,,,,
2014-01-23,403.049988,411,401.100006,402.799988,357.810364,40139,-0.1190574574,,,,
2014-01-24,400,408,395.399994,397.350006,352.969055,57515,-0.1250841569,,,,
2014-01-27,397.350006,401.049988,384.200012,389.549988,346.040253,52355,-0.138262413,,,,
2014-01-28,391.5,402,387.299988,388.850006,345.418457,60945,-0.1252289146,,,,
2014-01-29,391,400.850006,386.049988,390.049988,346.484406,99548,-0.1208697467,,,,
2014-01-30,390,395.799988,380.299988,385.450012,342.398224,40761,-0.1301722818,,,,
2014-01-31,383.100006,404.600006,383.100006,402.350006,357.410583,91491,-0.069410854,,,,
2014-02-03,402.100006,414,392.299988,399.450012,354.834534,101274,-0.1250492494,,,,
2014-02-04,398,399.850006,385.600006,393.200012,349.282593,34930,-0.1305706887,,,,
2014-02-05,395.649994,399.350006,391,392.899994,349.016113,20546,-0.1254118767,,,,
2014-02-06,397.899994,397.899994,384.799988,387.100006,343.863953,51947,-0.1459546087,,,,
2014-02-07,387.5,409.899994,387.5,405.399994,360.119934,154739,-0.07327872283,,,,
2014-02-10,410.200012,421,407.5,410.700012,364.828003,126733,-0.117218857,,,,
2014-02-11,409,420,406.25,418.850006,372.067688,173407,-0.09463936133,,,,
2014-02-12,421.899994,429.899994,420.100006,422.700012,375.487671,208714,-0.1165426678,,,,
2014-02-13,425.899994,427,410.299988,412.600006,366.515717,53328,-0.1501631584,,,,
2014-02-14,411.600006,418.75,405,407.299988,361.80777,35414,-0.1289389699,,,,
2014-02-17,405,411.5,403.200012,405.600006,360.297607,22476,-0.1169566911,,,,
2014-02-18,408.549988,429.649994,407,424.450012,377.042206,142914,-0.08025714302,,,,
2014-02-19,426.149994,440,426.149994,437.25,388.412537,414951,-0.09272336841,,,,
2014-02-20,436.450012,465.899994,434.049988,448.75,398.628052,474903,-0.09064506706,,,,
2014-02-21,452.399994,479.700012,452.350006,473.5,420.613708,501611,-0.07285187671,,,,
2014-02-24,472.450012,476.649994,451.200012,453.799988,403.114044,211691,-0.1587124371,0.149561905,64.399994,,
2014-02-25,456.5,465,450.850006,452.600006,402.048065,225826,-0.1270170539,0.1452341577,76.399994,,
2014-02-26,454.450012,456.200012,444,445.25,395.518982,93923,-0.138889142,0.1423414628,54.600006,,
2014-02-28,444,456.75,442.600006,445.649994,395.874329,166303,-0.1147277526,0.1379166314,56.149994,,
2014-03-03,441.399994,448.799988,418.799988,429.299988,381.350464,244007,-0.1462326749,0.1409270851,16.599976,,
2014-03-04,433.850006,446,429.450012,435.549988,386.902405,371031,-0.1145263883,0.1281547365,29.199982,,
2014-03-05,436.25,455.399994,435.100006,445.799988,396.007599,217106,-0.09678207305,0.1287973108,39.149994,,
2014-03-06,447.899994,454,442.649994,444.899994,395.208099,165182,-0.1251575207,0.1290482813,42.100006,,
2014-03-07,444.149994,445.75,410.100006,413.600006,367.404053,236727,-0.1897001254,0.1481150318,16.25,,
2014-03-10,410,424,402.799988,406.450012,361.052673,136331,-0.1271333034,0.1482105384,16.900024,,
2014-03-11,409,418,406.25,407.799988,362.251862,83154,-0.1213754348,0.1469519181,18.949982,,
2014-03-12,406,416.799988,406,408.149994,362.562775,77317,-0.1131555279,0.1469103644,18.100006,,
2014-03-13,408.899994,414.299988,398.600006,400.600006,355.856079,90204,-0.1389442361,0.1483168218,15.149994,,
2014-03-14,400,406,393.799988,401.899994,357.010864,105840,-0.1136983344,0.1479595913,-0.450012,,
2014-03-18,407.700012,414,400,403.049988,358.03241,50508,-0.1299081262,0.1392863357,3.599976,,
2014-03-19,405.049988,405.899994,395.549988,396.649994,352.34726,98538,-0.1393932633,0.140496634,3.449982,,
2014-03-20,393,400.899994,392.700012,395.25,351.103577,104688,-0.1127283408,0.1403787852,2.350006,,
2014-03-21,391.899994,407.5,391.899994,400.799988,356.033722,66050,-0.09598123881,0.1423747357,13.699982,,
2014-03-24,401,403.399994,395.549988,397.799988,353.368774,68017,-0.1264492301,0.1340990524,-7.600006,,
2014-03-25,394.25,405,394,399.100006,354.523621,111305,-0.1062102502,0.134843778,-11.600006,,
2014-03-26,395.100006,408,393,401.950012,357.055237,130157,-0.1012484173,0.1336736735,-16.899994,,
2014-03-27,403.450012,407,399.049988,404.799988,359.586914,55213,-0.1150966825,0.1337246421,-17.900024,,
2014-03-28,408.850006,409.149994,393.25,395,350.881561,101711,-0.1528996218,0.1344089487,-17.600006,,
2014-03-31,395,405.700012,395,402.549988,357.588226,134088,-0.0995036472,0.1357069987,-4.75,,
2014-04-01,405.5,417,404,410.149994,364.339447,171269,-0.1070348938,0.1362624832,4.549988,,
2014-04-02,414,421.600006,413.799988,417.950012,371.26825,313380,-0.1089411267,0.1305431933,-6.5,,
2014-04-03,418,425.899994,416.25,418.649994,371.890045,124881,-0.1168831999,0.1274259572,-18.600006,,
2014-04-04,416,422.899994,409,411.100006,365.183319,67867,-0.1302857889,0.1237153024,-37.649994,,
2014-04-07,410.200012,411,390.100006,395.450012,351.281281,83453,-0.155057602,0.1166941579,-78.049988,,
2014-04-09,396.25,414.649994,396.25,410.049988,364.25061,213682,-0.08420320544,0.118197577,-43.75,,
2014-04-10,410.049988,412.100006,404.149994,406.649994,361.230316,46659,-0.1267633249,0.1181872045,-45.950012,,
2014-04-11,402.600006,406,395,397.399994,353.013458,72352,-0.1314373473,0.1173114611,-47.850006,,
2014-04-15,400,409.5,395.100006,396.5,352.21402,159683,-0.1272255449,0.1171563391,-49.149994,,
2014-04-16,395.149994,408,395.149994,402.299988,357.36618,134953,-0.1005044541,0.1164824579,-27,,
2014-04-17,405.049988,422.5,405.049988,409.450012,363.71759,190181,-0.1076327718,0.117100636,-26.099976,,
2014-04-21,413,413.700012,398.5,400,355.32312,53468,-0.1504200203,0.1180491674,-45.799988,,
2014-04-22,404.5,411,403.5,405.950012,360.608521,74107,-0.1148587959,0.1182732456,-38.949982,,
2014-04-23,406.149994,409.950012,396.5,398.450012,353.946198,40318,-0.1375776162,0.09624552328,-15.149994,,
2014-04-24,398.450012,398.450012,398.450012,398.450012,353.946198,0,-0.1184371314,0.09600297075,-8,,
2014-04-25,399.100006,406.399994,398.600006,400.799988,356.033722,71733,-0.114186576,0.09618155665,-7,,
2014-04-28,404.950012,404.950012,396,397.600006,353.191132,35441,-0.1367542715,0.09739965512,-10.549988,,
2014-04-29,396,404.399994,396,398.5,353.990662,94204,-0.112143677,0.09582222732,-2.100006,,
2014-04-30,398.100006,412.899994,398.100006,405.799988,360.47522,103384,-0.09928002858,0.09790143538,3.899994,,
2014-05-02,401.700012,419.899994,401.700012,414.450012,368.15918,130680,-0.08719017225,0.10246621,11.400024,,
2014-05-05,414.450012,423.399994,414.049988,418.200012,371.490295,131774,-0.109429629,0.1002094363,21.550018,,
2014-05-06,418.5,420,399.25,404.049988,358.920685,102962,-0.153575459,0.1068367128,8.799988,,
2014-05-07,403,412,402.049988,405.049988,359.809021,88821,-0.1133631685,0.1044021386,4.25,,
2014-05-08,405.100006,416,404,409.75,363.98407,100036,-0.1070238621,0.1032576224,11.950012,,
2014-05-09,409.899994,424.899994,400.149994,415.450012,369.047455,385604,-0.1049879728,0.1037533097,16.350006,,
2014-05-12,416.200012,418.75,400.100006,401.450012,356.611084,128608,-0.1545201554,0.1093297273,-0.5,,
2014-05-13,405,408.5,397.799988,401.450012,356.611084,138963,-0.1272412797,0.1079758818,-3.349976,,
2014-05-14,404,410.950012,390.850006,391.75,347.994537,161321,-0.1492280966,0.111655686,-3.25,,
2014-05-15,394,395.700012,373.600006,378.5,336.224487,132399,-0.1585718564,0.1134467674,-24.049988,,
2014-05-16,380,388.399994,356.25,359.350006,319.213379,293805,-0.1743114739,0.1227424235,-50.799988,,
2014-05-19,360.200012,369.5,328,329.5,292.697388,296938,-0.2075201962,0.1471135064,-88.450012,,
2014-05-20,331.5,347,331.5,344.100006,305.666718,224506,-0.0811324581,0.1532091798,-74.549988,,
2014-05-21,346.5,357.899994,345.649994,353.5,314.016754,173099,-0.09843647746,0.1554870649,-57.600006,,
2014-05-22,360.899994,364.899994,356.200012,359.850006,319.657562,136158,-0.121350591,0.1554757439,-35.600006,,
2014-05-23,362.399994,369,362,366.700012,325.742462,108117,-0.1066414823,0.1534727505,-43.349976,,
2014-05-26,368,372,358.5,368.600006,327.430237,164462,-0.1168079226,0.1481264595,-38.049988,,
2014-05-27,371.950012,375,367.049988,371.700012,330.18399,61816,-0.1191094244,0.148227337,-25.699982,0.2426826614,-17.699982
2014-05-28,368.549988,376.5,368.549988,370.700012,329.295654,79067,-0.1126203635,0.1485361777,-25.799988,0.2387517079,-5.5
2014-05-29,368.100006,380.75,368,377.950012,335.735901,89821,-0.09202981472,0.1518944082,-24.349976,0.2382912779,-12.699982
