Date,Open,High,Low,Close,Adj Close,Volume,Daily Rt,volatility 1,momentum 1,volatility 3,momentum 3
2014-01-14,407,407,372.75,375.387512,321.842072,619956,-0.2347522198,,,,
2014-01-15,378.575012,383.5,366.649994,367.837494,315.369049,489376,-0.1826706984,,,,
2014-01-16,373.274994,379.487488,355.600006,373.612488,320.320282,1142608,-0.1529940208,,,,
2014-01-17,362.774994,365,348.325012,355.212494,304.5448,1745080,-0.1749645881,,,,
2014-01-20,353.075012,367.924988,352,361.799988,310.192688,601500,-0.1294868544,,,,
2014-01-21,364.5,364.5,356.25,357.475006,307.547119,215076,-0.1698982434,,,,
2014-01-22,358.625,363.737488,352.75,357.587494,307.643921,207380,-0.1533342608,,,,
2014-01-23,357.649994,363.25,353,355.787506,306.095367,163092,-0.1556581275,,,,
2014-01-24,355,366,354.825012,362.524994,311.891846,494536,-0.1294613092,,,,
2014-01-27,360,364.975006,357.5,362.4375,311.816589,161024,-0.1436888723,,,,
2014-01-28,358.75,367.100006,358.75,362.649994,311.99942,147660,-0.1396244382,,,,
2014-01-29,359.049988,368.5,359.049988,362.512512,311.881104,116104,-0.1408395829,,,,
2014-01-30,362.487488,365.200012,350,353.487488,304.116547,112740,-0.1755789516,,,,
2014-01-31,357.5,360.5,352.5,357.4375,307.514923,120200,-0.150611746,,,,
2014-02-03,362,362,354.75,357.600006,307.654694,266912,-0.1626661812,,,,
2014-02-04,355,358.987488,346.25,356.012512,306.28891,193912,-0.1475889826,,,,
2014-02-05,357.5,360,354.337494,356.774994,306.944885,118024,-0.1524671584,,,,
2014-02-06,360.237488,360.237488,352.5,355.0625,305.471619,93820,-0.1649066287,,,,
2014-02-07,360,367.5,352.799988,362.712494,312.053162,183296,-0.1429304671,,,,
2014-02-10,364.75,385,363.75,382.487488,329.066315,511616,-0.1029528916,,,,
2014-02-11,383.75,411,382.5,407.575012,350.649811,1333780,-0.09020326292,,,,
2014-02-12,406.5,424.174988,394.700012,411.9375,354.403015,1255168,-0.137149203,,,,
2014-02-13,408.0625,422.25,401.5,420.100006,361.425537,669644,-0.121364312,,,,
2014-02-14,415.950012,423.237488,413.200012,420.100006,361.425537,333296,-0.1405090526,,,,
2014-02-17,419.75,421.100006,410.075012,412.024994,354.478241,240640,-0.1690123313,,,,
2014-02-18,417.25,417.25,402.5,405.825012,349.144226,122116,-0.1782004707,,,,
2014-02-19,406.25,409.75,402.75,404.274994,347.810699,115324,-0.1553103703,,,,
2014-02-20,404.274994,428.299988,404.262512,424.325012,365.060394,754272,-0.1020325217,,,,
2014-02-21,424.5,431.75,411.612488,414.25,356.392548,464720,-0.1748792195,,,,
2014-02-24,417.350006,425,412.8125,414.700012,356.779694,276092,-0.156806725,0.1524791669,39.3125,,
2014-02-25,418.75,421.25,412.950012,414.662506,356.747437,146956,-0.1602460111,0.1261097623,46.825012,,
2014-02-26,415.5,420.75,407.5,409.4375,352.252167,229684,-0.1651353117,0.1223728669,35.825012,,
2014-02-28,410.5,414.25,407.75,410.887512,353.499695,110596,-0.1494933064,0.1222756059,55.675018,,
