Date,Open,High,Low,Close,Adj Close,Volume,Daily Rt,volatility 1,momentum 1,volatility 3,momentum 3
2014-01-14,435.149994,439,421.149994,422.75,329.369965,111241,-0.2785091528,,,,
2014-01-15,424.600006,427.899994,414,417.850006,325.552338,69256,-0.2656243221,,,,
2014-01-16,416.049988,423.399994,412.100006,416,324.110992,183635,-0.2497193915,,,,
2014-01-17,414.049988,419.649994,405.100006,409,318.657227,211060,-0.2618707089,,,,
2014-01-20,414.850006,419,408.350006,416.5,324.500519,69589,-0.245629888,,,,
2014-01-21,418.049988,426.700012,413,421.899994,328.707733,349098,-0.2404320075,,,,
2014-01-22,404,409,395.399994,397.850006,322.984344,121309,-0.2238110265,,,,
2014-01-23,395.200012,401.899994,391.25,392.899994,318.965851,113379,-0.2143079493,,,,
2014-01-24,395.5,395.700012,381,383,310.928772,45728,-0.2405869302,,,,
2014-01-27,381.799988,383.450012,373.299988,375.549988,304.880646,33887,-0.2249765044,,,,
2014-01-28,383.399994,386.200012,375.5,379.850006,308.371552,48151,-0.2177734214,,,,
2014-01-29,380,391.950012,371.600006,374.899994,304.352997,102698,-0.2219830506,,,,
2014-01-30,375.950012,385.899994,368,370,300.375092,44356,-0.2244241874,,,,
2014-01-31,370,376,366,370.450012,300.740417,52033,-0.207255515,,,,
2014-02-03,370.450012,378.549988,366.149994,370.75,300.983917,167322,-0.2076616838,,,,
2014-02-04,368.049988,382.75,366,380.450012,308.858643,282826,-0.1753350597,,,,
2014-02-05,383.75,387.700012,371.5,379.649994,308.209198,162947,-0.2192125322,,,,
2014-02-06,384.299988,384.299988,376.100006,379.899994,308.41217,96035,-0.2199863637,,,,
2014-02-07,379.100006,386,377.25,380.100006,308.574524,53460,-0.2058366553,,,,
2014-02-10,380.049988,385,378.100006,380.75,309.102173,44666,-0.2066309122,,,,
2014-02-11,382,385.399994,378.049988,379.299988,307.925049,37580,-0.2155642026,,,,
2014-02-12,381.649994,383,378.25,380.950012,309.264557,19806,-0.2103068604,,,,
2014-02-13,379.049988,386,371.149994,379.450012,308.046814,529681,-0.2074163259,,,,
2014-02-14,379.049988,392.799988,377.649994,383.100006,311.009979,449310,-0.1978430924,,,,
2014-02-17,390,403.899994,385.100006,399.200012,324.080383,177174,-0.1851551584,,,,
2014-02-18,400,407.950012,395.25,397.950012,323.065552,125815,-0.2136092971,,,,
2014-02-19,400.899994,400.899994,385.149994,393.350006,319.331177,117546,-0.227483268,,,,
2014-02-20,393.350006,405,391,395.049988,320.711273,116174,-0.2041585587,,,,
2014-02-21,401.850006,403,395,399.350006,324.202148,138660,-0.2147116648,,,,
2014-02-24,402,404.350006,391.299988,392.5,318.641144,93213,-0.2323865595,0.1237961817,-30.25,,
2014-02-25,395,397.149994,390.799988,392.149994,318.356964,58350,-0.2157124834,0.109214875,-25.700012,,
2014-02-26,390.600006,396.799988,389.25,391.75,318.032257,53004,-0.2055312191,0.09927648435,-24.25,,
2014-02-28,395.799988,395.799988,386.549988,387.850006,314.866119,42734,-0.2287614734,0.09442340289,-21.149994,,
2014-03-03,385.100006,393.649994,382,382.450012,310.4823,25714,-0.2153761615,0.08235006086,-34.049988,,
2014-03-04,383.100006,389,383.100006,386.049988,313.404846,127328,-0.2008002749,0.07753500808,-35.850006,,
2014-03-05,386.850006,424,386.799988,416.049988,337.759583,636394,-0.135702687,0.1062493202,18.199982,,
2014-03-06,419.899994,428,408,413.649994,335.811188,366249,-0.2234675119,0.1062059377,20.75,,
2014-03-07,414.200012,418.600006,401.149994,403.549988,327.611755,98965,-0.2345197444,0.1088142747,20.549988,,
2014-03-10,401.5,414.899994,400,403.950012,327.936523,322832,-0.2023874712,0.1048245251,28.400024,,
2014-03-11,403.950012,413.899994,400,401.299988,325.785187,79075,-0.215052909,0.1038292624,21.449982,,
2014-03-12,401.850006,409,401.25,404.5,328.383026,49076,-0.2018982103,0.1037714312,29.600006,,
2014-03-13,405,405,392,394,319.858826,103431,-0.2360073374,0.1064703484,24,,
2014-03-14,386.850006,397.5,374.5,394.149994,319.980652,311135,-0.189776505,0.1071399693,23.699982,,
2014-03-18,396.950012,406.799988,396.75,403.649994,327.692932,228486,-0.1917333714,0.1084456668,32.899994,,
2014-03-19,406.799988,406.799988,391.25,392.649994,318.762878,69542,-0.2438741375,0.1142208089,12.199982,,
2014-03-20,388.700012,402,388.700012,395.149994,320.79248,56792,-0.1920134344,0.1102529397,15.5,,
2014-03-21,394.350006,398.5,375.25,377.100006,306.139038,193706,-0.2531994838,0.1182168869,-2.799988,,
2014-03-24,382.799988,393,382.100006,391,317.423401,88532,-0.1872760957,0.1221799289,10.899994,,
2014-03-25,389.049988,402.899994,386,398.850006,323.796204,175810,-0.1835935213,0.1250618933,18.100006,,
2014-03-26,401.399994,407,387.5,401.299988,325.785187,170133,-0.2087201928,0.1248793344,22,,
2014-03-27,404,407,400,404.450012,328.342438,205881,-0.2073577959,0.1248800873,23.5,,
2014-03-28,402.100006,409.799988,397.25,404.5,328.383026,134967,-0.2025201395,0.125037877,25.049988,,
2014-03-31,405,411.600006,399,404,327.977112,170150,-0.2109432416,0.1245345202,20.899994,,
2014-04-01,400.5,406.799988,400,402.950012,327.124695,33783,-0.202372338,0.122197775,3.75,,
2014-04-02,403.100006,433,403.100006,427.299988,346.892578,435673,-0.1501695265,0.1362445843,29.349976,,
2014-04-03,432,435,411,414,336.095337,93119,-0.2510307275,0.1419313549,20.649994,,
2014-04-04,416,422,408.25,411.200012,333.822266,68172,-0.2200765466,0.1423550049,16.150024,,
2014-04-07,412.100006,418.700012,405,407.950012,331.183807,36198,-0.2185925235,0.1425804391,8.600006,,
2014-04-09,415,415,402.5,413.299988,335.527039,61173,-0.2125759739,0.1405068359,20.799988,,
2014-04-10,412,420.700012,408,415.700012,337.475494,93455,-0.199530452,0.1405575867,23.550018,,
2014-04-11,417,427.149994,413,418.950012,340.113861,221378,-0.203805775,0.1405977697,27.200012,,
2014-04-15,424.950012,425,412.200012,414.149994,336.217102,246906,-0.234214455,0.1415791719,26.299988,,
2014-04-16,414.549988,418,405.649994,415.200012,337.06955,95737,-0.2069042767,0.1413607689,32.75,,
2014-04-17,415.200012,422,411.350006,413.850006,335.973541,72069,-0.2117279509,0.1412352725,27.800018,,
2014-04-21,412,413.850006,404.350006,405.549988,329.235382,79442,-0.2242504076,0.119777547,-10.5,,
2014-04-22,410,418,405,406.299988,329.844299,97295,-0.2175364378,0.1192679997,-7.350006,,
2014-04-23,406.899994,415.25,406.5,408.399994,331.549133,34079,-0.2047914274,0.1167436702,4.850006,,
